"WTMREP08.Code.or.Value","WTMREP08.Value.Description","WTMREP08.Count","WTMREP08.Cumulative","WTMREP08.Skip.to.Item"
"0 to 261427.86999","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
