"OSQ150.Code.or.Value","OSQ150.Value.Description","OSQ150.Count","OSQ150.Cumulative","OSQ150.Skip.to.Item"
"1","Yes",380,380,""
"2","No",2492,2872,"OSQ170"
"7","Refused",3,2875,"OSQ170"
"9","Don't know",193,3068,"OSQ170"
".","Missing",1,3069,""
