"OHD22LAM.Code.or.Value","OHD22LAM.Value.Description","OHD22LAM.Count","OHD22LAM.Cumulative","OHD22LAM.Skip.to.Item"
"0 to 9","Range of Values",2387,2387,NA
"99","Calculation cannot be determined",113,2500,NA
".","Missing",4218,6718,NA
