"WTSPO39.Code.or.Value","WTSPO39.Value.Description","WTSPO39.Count","WTSPO39.Cumulative","WTSPO39.Skip.to.Item"
"0.0000000 to 850725.1949500","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
