"CIQDPB.Code.or.Value","CIQDPB.Value.Description","CIQDPB.Count","CIQDPB.Cumulative","CIQDPB.Skip.to.Item"
"1","Yes",1,1,"CIQDPD"
"2","No",71,72,""
"7","Refuse",0,72,""
"9","Don't know",0,72,""
".","Missing",778,850,""
