"WBXP103.Code.or.Value","WBXP103.Value.Description","WBXP103.Count","WBXP103.Cumulative","WBXP103.Skip.to.Item"
"-146.8798 to 168.8117","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
