"OPXSSIZE.Code.or.Value","OPXSSIZE.Value.Description","OPXSSIZE.Count","OPXSSIZE.Cumulative","OPXSSIZE.Skip.to.Item"
"0","Small",60,60,NA
"1","Average",333,393,NA
"2","Large",14,407,NA
"3","Ungradable",7,414,NA
".","Missing",3449,3863,NA
