"RFXC146.Code.or.Value","RFXC146.Value.Description","RFXC146.Count","RFXC146.Cumulative","RFXC146.Skip.to.Item"
"-6.653 to 7.872","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
