"WTSAF4YR.Code.or.Value","WTSAF4YR.Value.Description","WTSAF4YR.Count","WTSAF4YR.Cumulative","WTSAF4YR.Skip.to.Item"
"0.000000000000 to 263680.656781538000","Range of Values",0,0,NA
"0","0",4464,4464,NA
".","Missing",0,4464,NA
