"DMDHREDU.Code.or.Value","DMDHREDU.Value.Description","DMDHREDU.Count","DMDHREDU.Cumulative","DMDHREDU.Skip.to.Item"
"1","Less Than 9th Grade",1087,1087,NA
"2","9-11th Grade (Includes 12th grade with no diploma)",1200,2287,NA
"3","High School Grad/GED or Equivalent",2015,4302,NA
"4","Some College or AA degree",2908,7210,NA
"5","College Graduate or above",2331,9541,NA
"7","Refused",0,9541,NA
"9","Don't Know",34,9575,NA
".","Missing",396,9971,NA
