"PAQ759e.Code.or.Value","PAQ759e.Value.Description","PAQ759e.Count","PAQ759e.Cumulative","PAQ759e.Skip.to.Item"
"5","FOOTBALL",160,160,NA
".","Missing",9095,9255,NA
