"HOQ280A.Code.or.Value","HOQ280A.Value.Description","HOQ280A.Count","HOQ280A.Cumulative","HOQ280A.Skip.to.Item"
"1","Dog",381,381,NA
"7","Refused",0,381,NA
"9","Don't know",2,383,NA
".","Missing",9965,10348,NA
