"DUQ350Q.Code.or.Value","DUQ350Q.Value.Description","DUQ350Q.Count","DUQ350Q.Cumulative","DUQ350Q.Skip.to.Item"
"1 to 40","Range of Values",230,230,NA
"7777","Refused",0,230,NA
"9999","Don't know",0,230,NA
".","Missing",4342,4572,NA
