"OPASCST1.Code.or.Value","OPASCST1.Value.Description","OPASCST1.Count","OPASCST1.Cumulative","OPASCST1.Skip.to.Item"
"1","Complete",3225,3225,NA
"2","Partial",127,3352,NA
"3","Not done",511,3863,NA
".","Missing",0,3863,NA
