"OPDDGA.Code.or.Value","OPDDGA.Value.Description","OPDDGA.Count","OPDDGA.Cumulative","OPDDGA.Skip.to.Item"
"0","No",3097,3097,NA
"1","Yes",11,3108,NA
".","Missing",755,3863,NA
