"BPXSY2.Code.or.Value","BPXSY2.Value.Description","BPXSY2.Count","BPXSY2.Cumulative","BPXSY2.Skip.to.Item"
"72 to 236","Range of Values",6563,6563,NA
".","Missing",2141,8704,NA
