"LBDHCBLC.Code.or.Value","LBDHCBLC.Value.Description","LBDHCBLC.Count","LBDHCBLC.Cumulative","LBDHCBLC.Skip.to.Item"
"0","At or above the detection limit",265,265,NA
"1","Below lower detection limit",0,265,NA
".","Missing",0,265,NA
