"URDMNMLC.Code.or.Value","URDMNMLC.Value.Description","URDMNMLC.Count","URDMNMLC.Cumulative","URDMNMLC.Skip.to.Item"
"0","At or above the detection limit",1603,1603,NA
"1","Below lower detection limit",886,2489,NA
".","Missing",105,2594,NA
