"AUXLR279.Code.or.Value","AUXLR279.Value.Description","AUXLR279.Count","AUXLR279.Cumulative","AUXLR279.Skip.to.Item"
"-23 to 66","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
