"CIQG06.Code.or.Value","CIQG06.Value.Description","CIQG06.Count","CIQG06.Cumulative","CIQG06.Skip.to.Item"
"1","Yes",35,35,""
"2","No",546,581,"CIDGSCOR"
"7","Refused",0,581,"CIDGSCOR"
"9","Don't know",2,583,"CIDGSCOR"
".","Missing",267,850,""
