"ECD100.Code.or.Value","ECD100.Value.Description","ECD100.Count","ECD100.Cumulative","ECD100.Skip.to.Item"
"1","Yes",2091,2091,""
"2","No",1745,3836,"FSQ121"
"7","Refused",0,3836,"FSQ121"
"9","Don't know",0,3836,"FSQ121"
".","Missing",85,3921,""
