"OPDDASD.Code.or.Value","OPDDASD.Value.Description","OPDDASD.Count","OPDDASD.Cumulative","OPDDASD.Skip.to.Item"
"0","No",2658,2658,NA
"1","Yes",424,3082,NA
".","Missing",781,3863,NA
