"VTQ281B.Code.or.Value","VTQ281B.Value.Description","VTQ281B.Count","VTQ281B.Cumulative","VTQ281B.Skip.to.Item"
"1 to 48","Range of Values",90,90,NA
"77","Refused",0,90,NA
"99","Don't know",0,90,NA
".","Missing",3399,3489,NA
