"LBX9AL.Code.or.Value","LBX9AL.Value.Description","LBX9AL.Count","LBX9AL.Cumulative","LBX9AL.Skip.to.Item"
"1.86 to 39.8","Range of Values",1737,1737,NA
".","Missing",868,2605,NA
