"OHQ490f.Code.or.Value","OHQ490f.Value.Description","OHQ490f.Count","OHQ490f.Cumulative","OHQ490f.Skip.to.Item"
"1","Checked",138,138,NA
"77","Refused",0,138,NA
"99","Don't know",8,146,NA
".","Missing",8701,8847,NA
