"LBXBAPCT.Code.or.Value","LBXBAPCT.Value.Description","LBXBAPCT.Count","LBXBAPCT.Cumulative","LBXBAPCT.Skip.to.Item"
"0.1 to 4.8","Range of Values",7523,7523,NA
".","Missing",843,8366,NA
