"LBCF01LA.Code.or.Value","LBCF01LA.Value.Description","LBCF01LA.Count","LBCF01LA.Cumulative","LBCF01LA.Skip.to.Item"
"0.08485 to 1.152","Range of Values",285,285,NA
".","Missing",16,301,NA
