"SSED1_N.Code.or.Value","SSED1_N.Value.Description","SSED1_N.Count","SSED1_N.Cumulative","SSED1_N.Skip.to.Item"
"5.66 to 383","Range of Values",1760,1760,NA
".","Missing",18,1778,NA
