"WTMREP22.Code.or.Value","WTMREP22.Value.Description","WTMREP22.Count","WTMREP22.Cumulative","WTMREP22.Skip.to.Item"
"0 to 261410.98954","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
