"TYXP150.Code.or.Value","TYXP150.Value.Description","TYXP150.Count","TYXP150.Cumulative","TYXP150.Skip.to.Item"
"-299 to 148","Range of Values",3432,3432,NA
".","Missing",2153,5585,NA
