"SSACETLC.Code.or.Value","SSACETLC.Value.Description","SSACETLC.Count","SSACETLC.Cumulative","SSACETLC.Skip.to.Item"
"0","At or above the detection limit",13,13,NA
"1","Below lower detection limit",2414,2427,NA
".","Missing",11,2438,NA
