"DXXPT65Y.Code.or.Value","DXXPT65Y.Value.Description","DXXPT65Y.Count","DXXPT65Y.Cumulative","DXXPT65Y.Skip.to.Item"
"99.6 to 306.6","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
