"HOQ260A.Code.or.Value","HOQ260A.Value.Description","HOQ260A.Count","HOQ260A.Cumulative","HOQ260A.Skip.to.Item"
"1","Dog",2880,2880,NA
"7","Refused",0,2880,NA
"9","Don't know",0,2880,NA
".","Missing",7468,10348,NA
