"WBXP080.Code.or.Value","WBXP080.Value.Description","WBXP080.Count","WBXP080.Cumulative","WBXP080.Skip.to.Item"
"-169.2923 to 175.8947","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
