"BPD120.Code.or.Value","BPD120.Value.Description","BPD120.Count","BPD120.Cumulative","BPD120.Skip.to.Item"
"1","Yes",153,153,NA
"2","No",140,293,NA
"7","Refused",0,293,NA
"9","Don't know",0,293,NA
".","Missing",5920,6213,NA
