"AUXRR172.Code.or.Value","AUXRR172.Value.Description","AUXRR172.Count","AUXRR172.Cumulative","AUXRR172.Skip.to.Item"
"-24 to 70","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
