"MGDCGSZ.Code.or.Value","MGDCGSZ.Value.Description","MGDCGSZ.Count","MGDCGSZ.Cumulative","MGDCGSZ.Skip.to.Item"
"8 to 162.8","Range of Values",7677,7677,NA
".","Missing",614,8291,NA
