"DXXLABMC.Code.or.Value","DXXLABMC.Value.Description","DXXLABMC.Count","DXXLABMC.Cumulative","DXXLABMC.Skip.to.Item"
"33.34 to 435.14","Range of Values",4095,4095,NA
".","Missing",1019,5114,NA
