"RFXT007.Code.or.Value","RFXT007.Value.Description","RFXT007.Count","RFXT007.Cumulative","RFXT007.Skip.to.Item"
"44 to 53","Range of Values",33721,33721,NA
".","Missing",0,33721,NA
