"LBXHP1.Code.or.Value","LBXHP1.Value.Description","LBXHP1.Count","LBXHP1.Cumulative","LBXHP1.Skip.to.Item"
"0 to 5.73","Range of Values",7493,7493,NA
".","Missing",851,8344,NA
