"PSQ270.Code.or.Value","PSQ270.Value.Description","PSQ270.Count","PSQ270.Cumulative","PSQ270.Skip.to.Item"
"1","True",19,19,NA
"2","False",0,19,NA
"7","Refused",0,19,NA
"9","Don't know",5,24,NA
".","Missing",28,52,NA
