"URXUAS.Code.or.Value","URXUAS.Value.Description","URXUAS.Count","URXUAS.Cumulative","URXUAS.Skip.to.Item"
"0.16 to 2802.29","Range of Values",2792,2792,NA
".","Missing",187,2979,NA
