"OHD23LAM.Code.or.Value","OHD23LAM.Value.Description","OHD23LAM.Count","OHD23LAM.Cumulative","OHD23LAM.Skip.to.Item"
"0 to 8","Range of Values",2356,2356,NA
"99","Calculation cannot be determined",144,2500,NA
".","Missing",4218,6718,NA
