"PSQ250.Code.or.Value","PSQ250.Value.Description","PSQ250.Count","PSQ250.Cumulative","PSQ250.Skip.to.Item"
"1","True",17,17,NA
"2","False",3,20,NA
"7","Refused",0,20,NA
"9","Don't know",4,24,NA
".","Missing",28,52,NA
