"WTMREP38.Code.or.Value","WTMREP38.Value.Description","WTMREP38.Count","WTMREP38.Cumulative","WTMREP38.Skip.to.Item"
"0 to 265965.07558","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
