"SSAMH.Code.or.Value","SSAMH.Value.Description","SSAMH.Count","SSAMH.Cumulative","SSAMH.Skip.to.Item"
"0.031 to 246.217","Range of Values",482,482,NA
".","Missing",8,490,NA
