"WBXF101.Code.or.Value","WBXF101.Value.Description","WBXF101.Count","WBXF101.Cumulative","WBXF101.Skip.to.Item"
"6727.1713 to 6727.1713","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
