"URXMAL.Code.or.Value","URXMAL.Value.Description","URXMAL.Count","URXMAL.Cumulative","URXMAL.Skip.to.Item"
"0.35 to 448","Range of Values",2742,2742,NA
".","Missing",89,2831,NA
