"LBXIGGA.Code.or.Value","LBXIGGA.Value.Description","LBXIGGA.Count","LBXIGGA.Cumulative","LBXIGGA.Skip.to.Item"
"1","low",16,16,NA
"2","high",146,162,NA
"3","indeterminate",6,168,NA
".","Missing",763,931,NA
