"SSDTA_N.Code.or.Value","SSDTA_N.Value.Description","SSDTA_N.Count","SSDTA_N.Cumulative","SSDTA_N.Skip.to.Item"
"6.28 to 132","Range of Values",1763,1763,NA
".","Missing",15,1778,NA
