"BIXC421K.Code.or.Value","BIXC421K.Value.Description","BIXC421K.Count","BIXC421K.Cumulative","BIXC421K.Skip.to.Item"
"11.27 to 112.96","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
