"LBDVWCGP.Code.or.Value","LBDVWCGP.Value.Description","LBDVWCGP.Count","LBDVWCGP.Cumulative","LBDVWCGP.Skip.to.Item"
"1","Positive",4940,4940,NA
"2","Negative",114,5054,NA
".","Missing",598,5652,NA
