"DCQ250.Code.or.Value","DCQ250.Value.Description","DCQ250.Count","DCQ250.Cumulative","DCQ250.Skip.to.Item"
"1","Smooth and Cleanable",866,866,NA
"2","Not Smooth and Cleanable",65,931,NA
".","Missing",336,1267,NA
