"LBXF09.Code.or.Value","LBXF09.Value.Description","LBXF09.Count","LBXF09.Cumulative","LBXF09.Skip.to.Item"
"5.52 to 324.8","Range of Values",1852,1852,NA
".","Missing",433,2285,NA
