"WTSPH34.Code.or.Value","WTSPH34.Value.Description","WTSPH34.Count","WTSPH34.Cumulative","WTSPH34.Skip.to.Item"
"0 to 784645.21465","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
