"RFXT068.Code.or.Value","RFXT068.Value.Description","RFXT068.Count","RFXT068.Cumulative","RFXT068.Skip.to.Item"
"584 to 593","Range of Values",33697,33697,NA
".","Missing",24,33721,NA
