"RFXC011.Code.or.Value","RFXC011.Value.Description","RFXC011.Count","RFXC011.Cumulative","RFXC011.Skip.to.Item"
"-4.318 to 4.368","Range of Values",33713,33713,NA
".","Missing",8,33721,NA
