"URDBP3LC.Code.or.Value","URDBP3LC.Value.Description","URDBP3LC.Count","URDBP3LC.Cumulative","URDBP3LC.Skip.to.Item"
"0","At or above the detection limit",2532,2532,NA
"1","Below lower detection limit",119,2651,NA
".","Missing",152,2803,NA
