"WBXP050.Code.or.Value","WBXP050.Value.Description","WBXP050.Count","WBXP050.Cumulative","WBXP050.Skip.to.Item"
"-69.4057 to 177.5286","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
