"WTSHM05.Code.or.Value","WTSHM05.Value.Description","WTSHM05.Count","WTSHM05.Cumulative","WTSHM05.Skip.to.Item"
"0.0000000 to 744733.3766200","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
