"OPDDRDET.Code.or.Value","OPDDRDET.Value.Description","OPDDRDET.Count","OPDDRDET.Cumulative","OPDDRDET.Skip.to.Item"
"0","No",3228,3228,NA
"1","Questionable",0,3228,NA
"2","Yes",2,3230,NA
"3","Yes, in center",0,3230,NA
".","Missing",633,3863,NA
