"WTSHM25.Code.or.Value","WTSHM25.Value.Description","WTSHM25.Count","WTSHM25.Cumulative","WTSHM25.Skip.to.Item"
"0.0000000 to 744083.6260000","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
