"LBXID1.Code.or.Value","LBXID1.Value.Description","LBXID1.Count","LBXID1.Cumulative","LBXID1.Skip.to.Item"
"0.25 to 1000","Range of Values",8336,8336,NA
".","Missing",1104,9440,NA
