"RFXC133.Code.or.Value","RFXC133.Value.Description","RFXC133.Count","RFXC133.Cumulative","RFXC133.Skip.to.Item"
"-6.981 to 7.369","Range of Values",33679,33679,NA
".","Missing",42,33721,NA
